Sebastes.inermis,Trachurus.japonicus,Girella.punctata,Tridentiger.trigonocephalus
463,0,60,7
19,650,42,0
47,1150,8,2
46,958,34,38
43,308,15,43
14,1000,12,9
71,31,8,8
37,750,6,6
38,930,0,10
9,739,51,10
4,350,30,47
36,340,11,18
8,100,50,8
17,0,2,19.5
45,0,0,17
18,0,3,20
6,0,0,21
48,0,0,18
6,0,0,14
5,0,0,11
8,0,0,24
18,0,1,51
12,0,1,42
9,0,4,17
20,0,76,0
22,30,11,3
8,181,19,6
7,330,66,1
11,324,16,1
17,184,14,21
12,672,3,57
10,100,56,29
47,190,19,50
29,65,12,36
36,300,3,27
17,230,3,15
31,404,5,31
22,0,0,12
8,0,0,23
15,0,1,21
10,0,0,28
7,0,0,8
5,0,0,3
3,0,0,6
6,0,0,21
32,20,0,14
16,50,2,6
16,0,0,1
9,0,10,4
50,0,0,1
45,61,0,0
13,115,0,24
16,260,11,195
24,750,0,72
11,701,13,39
36,1260,1,14
27,850,0,62
6,410,0,47
39,403,0,119
33,230,2,58
51,350,0,61
35,0,0,49
24,0,0,77
15,0,0,66
6,0,0,20
10,0,0,35
7,0,0,21
3,0,0,14
5,0,0,19
11,20,0,66
7,150,0,43
10,0,0,1
56,0,2,3
11,10,0,7
11,0,0,12
1,20,32,302
3,512,76,131
1,518,132,202
1,300,2,64
0,300,90,48
1,200,56,45
5,400,50,93
4,30,46,85
5,130,33,145
3,330,8,42
0,0,0,28
1,0,0,35
3,0,5,35
1,0,1,24
0,0,0,23
2,0,0,36
0,0,0,8
1,0,0,40
204,0,0,29
1,0,0,10
65,200,0,14
20,30,9,1
54,0,4,0
17,331,19,9
41,305,1,18
26,10,8,146
53,263,30,326
63,605,12,306
8,50,25,76
24,280,3,36
37,0,36,98
14,30,17,132
15,550,7,78
31,300,7,52
34,200,7,26
12,0,2,38
8,0,30,42
4,0,0,8
7,0,0,18
2,0,0,19
3,0,0,4
22,0,0,20
51,0,0,21
32,0,4,16
44,0,0,11
32,200,2,10
72,200,20,8
37,0,2,7
58,31,4,13
41,500,41,50
35,450,44,24
180,850,74,25
54,400,13,24
41,540,10,2
57,500,26,4
39,100,14,59
30,200,10,62
28,400,28,43
85,500,15,71
33,0,7,89
18,0,3,51
10,0,1,43
0,0,0,24
1,0,3,39
11,0,0,17
6,0,2,26
69,0,0,24
38,0,10,12
100,200,0,12
250,7,3,1
95,100,2,4
133,1000,4,0
143,305,145,50
169,1000,109,24
43,500,5,23
71,600,113,15
44,400,4,3
42,602,30,8
74,0,8,55
25,0,15,41
45,402,20,73
60,200,1,74
38,0,3,67
3,0,0,64
6,0,0,46
6,0,0,50
2,0,0,30
1,0,0,6
2,0,0,31
1,0,0,17
110,0,0,56
28,500,0,15
30,6,0,10
35,250,1,5
89,100,0,1
43,230,221,6
47,231,24,4
130,135,29,7
97,230,17,40
32,30,30,67
52,200,127,15
15,820,7,6
21,200,0,8
29,300,13,6
11,21,39,3
23,300,9,1
19,0,0,4
7,0,0,15
1,0,0,0
1,0,0,17
1,0,0,7
2,0,0,13
12,0,0,16
77,200,0,25
344,0,0,53
97,0,0,42
39,0,0,10
42,0,8,8
98,0,15,1
74,70,0,3
148,30,50,20
62,503,96,15
44,500,84,8
37,250,15,6
7,200,2,2
5,500,20,0
19,503,27,1
8,100,16,6
6,0,0,31
11,0,0,33
6,0,0,21
3,0,0,28
4,0,2,30
3,0,2,72
1,0,1,28
0,0,0,22
1,0,0,4
0,0,0,24
4,0,0,37
5,0,2,59
9,0,3,4
63,0,1,26
70,200,4,7
78,300,14,6
37,253,2,58
14,12,0,78
12,1000,10,233
18,800,0,24
67,400,0,39
12,0,0,26
11,50,0,5
22,0,0,24
6,0,0,8
28,0,0,21
7,0,0,38
4,0,0,16
0,0,0,20
0,0,0,7
1,0,0,29
0,0,0,52
0,0,0,24
7,0,0,23
3,0,0,31
12,0,0,39
9,0,0,17
52,0,0,8
10,320,0,3
14,103,10,23
61,701,132,5
6,570,77,14
14,250,58,1
9,502,121,3
22,500,80,8
3,500,5,1
12,319,61,3
17,350,150,23
12,241,5,65
20,200,28,79
16,100,1,38
10,110,20,70
0,0,0,43
4,0,20,72
0,0,0,33
1,0,0,24
9,0,0,13
30,0,0,22
84,0,0,74
25,0,0,27
97,100,5,21
25,2,17,2
64,108,12,6
75,129,20,3
282,751,23,18
108,800,60,28
203,300,22,8
5,400,46,0
6,0,25,2
2,240,92,0
6,400,0,1
9,400,20,1
13,0,9,2
12,0,0,22
5,0,0,4
4,0,0,19
9,0,0,11
1,0,0,1
0,0,0,2
0,0,0,6
0,0,0,11
0,0,0,9
