time,R0,C1,C2,P1,P2
1,0.562017616,0.002226393,1.81519989,0.006884225,0.087265965
2,0.238250491,0.002987389,1.913686737,0.004210123,0.137499354
3,0.063778251,0.002383733,1.275531023,0.002575757,0.210434927
4,0.153576868,0.001665172,0.692132263,0.001571664,0.286714772
5,0.860214403,0.002309562,0.578684051,0.000958648,0.352087328
6,1.033267833,0.0045833,0.601425378,0.000587441,0.429956192
7,1.03772284,0.009246883,0.584893403,0.000363763,0.526563593
8,1.053690605,0.018717066,0.505941157,0.000229994,0.63157246
9,1.083771281,0.038173253,0.370645668,0.000151476,0.715827362
10,1.113487475,0.07859524,0.222723329,0.00010783,0.73393183
11,1.120994216,0.162776594,0.116830576,8.81E-05,0.664304854
12,1.087937688,0.336071039,0.062998197,8.93E-05,0.543330789
13,0.987854176,0.680895477,0.039315432,0.000118464,0.41949432
14,0.747202632,1.301813037,0.028368925,0.000204395,0.314893084
15,0.200871149,1.927699057,0.019747609,0.000423017,0.232589315
16,0.004198475,1.146952703,0.007566799,0.000862456,0.16821598
17,0.00390981,0.550882453,0.002720123,0.001394304,0.119652169
18,0.049903173,0.284419151,0.001126385,0.00170489,0.084610474
19,0.778260368,0.310836087,0.000903141,0.001809916,0.05972918
20,1.014505506,0.614058526,0.001213578,0.002309893,0.042174313
21,0.809986081,1.19097226,0.001655935,0.003845722,0.029802127
22,0.313291163,1.913485091,0.001986274,0.007815308,0.021077811
23,0.006402409,1.298159357,0.001217287,0.016332627,0.014902063
24,0.003271857,0.609640821,0.000569496,0.027556663,0.010518212
25,0.034558947,0.29131983,0.000278775,0.034643191,0.007417217
26,0.684128435,0.26447128,0.000232904,0.035856406,0.005228681
27,1.050592499,0.485337439,0.00034189,0.042264465,0.003686243
28,0.918866741,0.902786231,0.000508038,0.063798735,0.002599551
29,0.619241147,1.523104235,0.000706091,0.119095172,0.001833906
30,0.1138965,1.694888406,0.000729863,0.249354701,0.001294152
31,0.020499766,0.690814648,0.000406221,0.459951891,0.00091291
32,0.288564347,0.176488509,0.000258373,0.540382926,0.000643644
33,1.137330368,0.087313672,0.00035403,0.446461943,0.000453783
34,1.17967832,0.062009011,0.000551176,0.331297832,0.000320025
35,1.182173186,0.058236702,0.000860534,0.237763625,0.000225808
36,1.17968374,0.068880025,0.001343696,0.172187639,0.000159455
37,1.172308627,0.095932774,0.0020963,0.130414789,0.000112737
38,1.157510639,0.14846299,0.003263388,0.107600914,7.99E-05
39,1.12982954,0.243873707,0.005058304,0.101466431,5.67E-05
40,1.079328084,0.409183795,0.007774969,0.114418789,4.05E-05
41,0.989729256,0.674035909,0.011756494,0.157665184,2.91E-05
42,0.84033399,1.030841522,0.017204384,0.260598622,2.11E-05
43,0.634657648,1.316622768,0.023590212,0.487355476,1.55E-05
44,0.535967981,1.129564708,0.029583617,0.932896387,1.15E-05
45,0.911784012,0.391254598,0.03941882,1.47500995,8.61E-06
46,1.167664092,0.0210352,0.060156765,1.229730982,6.64E-06
47,1.177935153,0.001992865,0.093889418,0.762937881,5.35E-06
48,1.16688857,0.000612582,0.146411303,0.464235704,4.57E-06
49,1.148185738,0.000398417,0.227609676,0.281930829,4.23E-06
50,1.118485281,0.000407593,0.352033885,0.171171329,4.30E-06
51,1.071318623,0.0005453,0.539874791,0.10394932,4.87E-06
52,0.995885274,0.000848476,0.815996318,0.063169827,6.12E-06
53,0.873633179,0.001415319,1.201132266,0.038440269,8.46E-06
54,0.671022479,0.002348086,1.674861082,0.023447343,1.26E-05
55,0.336446228,0.003388501,2.026674683,0.01434986,1.99E-05
56,0.048859637,0.002874507,1.573992829,0.008794185,3.12E-05
57,0.029443601,0.001572429,0.850955066,0.005369705,4.46E-05
58,0.212170557,0.001071651,0.544745049,0.003269042,5.59E-05
59,0.928738463,0.001667858,0.672386539,0.001990393,6.79E-05
60,0.936994993,0.003271721,0.996259997,0.001216119,8.98E-05
61,0.782545142,0.006198411,1.433341803,0.000748275,0.000129503
62,0.51727472,0.010574643,1.894428858,0.000465757,0.000199107
63,0.142044899,0.012918942,1.915485407,0.000293487,0.000315445
64,0.025101947,0.008194978,1.145825286,0.000184085,0.000476951
65,0.066195665,0.004684669,0.630387964,0.000113832,0.000634452
66,0.62991111,0.004910255,0.563135497,7.00E-05,0.000763283
67,0.975348167,0.009379985,0.813159232,4.34E-05,0.000961686
68,0.868586031,0.018282689,1.193158769,2.74E-05,0.001328633
69,0.660973876,0.033290546,1.657711779,1.80E-05,0.001981046
70,0.315219102,0.0502121,1.980388437,1.23E-05,0.003102949
71,0.042019589,0.042201485,1.480647645,8.63E-06,0.004838588
72,0.029630648,0.023318076,0.789783816,5.76E-06,0.006822416
73,0.237086006,0.016488541,0.511526486,3.70E-06,0.008392486
