1,2,3,4
A1,A2,B1,B2
C1,C2,D1,D2
E1,E2,F1,F2
G1,G2,H1,H2
I1,I2,J1,J2
K1,K2,L1,L2
M1,M2,N1,N2
O1,O2,P1,P2
A3,A4,B3,B4
C3,C4,D3,D4
E3,E4,F3,F4
G3,G4,H3,H4
I3,I4,J3,J4
K3,K4,L3,L4
M3,M4,N3,N4
O3,O4,P3,P4
A5,A6,B5,B6
C5,C6,D5,D6
E5,E6,F5,F6
G5,G6,H5,H6
I5,I6,J5,J6
K5,K6,L5,L6
M5,M6,N5,N6
O5,O6,P5,P6
A7,A8,B7,B8
C7,C8,D7,D8
E7,E8,F7,F8
G7,G8,H7,H8
I7,I8,J7,J8
K7,K8,L7,L8
M7,M8,N7,N8
O7,O8,P7,P8
A9,A10,B9,B10
C9,C10,D9,D10
E9,E10,F9,F10
G9,G10,H9,H10
I9,I10,J9,J10
K9,K10,L9,L10
M9,M10,N9,N10
O9,O10,P9,P10
A11,A12,B11,B12
C11,C12,D11,D12
E11,E12,F11,F12
G11,G12,H11,H12
I11,I12,J11,J12
K11,K12,L11,L12
M11,M12,N11,N12
O11,O12,P11,P12
A13,A14,B13,B14
C13,C14,D13,D14
E13,E14,F13,F14
G13,G14,H13,H14
I13,I14,J13,J14
K13,K14,L13,L14
M13,M14,N13,N14
O13,O14,P13,P14
A15,A16,B15,B16
C15,C16,D15,D16
E15,E16,F15,F16
G15,G16,H15,H16
I15,I16,J15,J16
K15,K16,L15,L16
M15,M16,N15,N16
O15,O16,P15,P16
A17,A18,B17,B18
C17,C18,D17,D18
E17,E18,F17,F18
G17,G18,H17,H18
I17,I18,J17,J18
K17,K18,L17,L18
M17,M18,N17,N18
O17,O18,P17,P18
A19,A20,B19,B20
C19,C20,D19,D20
E19,E20,F19,F20
G19,G20,H19,H20
I19,I20,J19,J20
K19,K20,L19,L20
M19,M20,N19,N20
O19,O20,P19,P20
A21,A22,B21,B22
C21,C22,D21,D22
E21,E22,F21,F22
G21,G22,H21,H22
I21,I22,J21,J22
K21,K22,L21,L22
M21,M22,N21,N22
O21,O22,P21,P22
A23,A24,B23,B24
C23,C24,D23,D24
E23,E24,F23,F24
G23,G24,H23,H24
I23,I24,J23,J24
K23,K24,L23,L24
M23,M24,N23,N24
O23,O24,P23,P24
