file	format	type	num_seqs	sum_len	min_len	avg_len	max_len	Q1	Q2	Q3	sum_gap	N50	Q20(%)	Q30(%)
seqdata_primer_trimmed/S001_R1_F.fastq.gz	FASTQ	DNA	98058	10900767	1	111.2	122	115.0	115.0	115.0	0	115	95.52	94.53
seqdata_primer_trimmed/S001_R1_R.fastq.gz	FASTQ	DNA	98672	10966449	1	111.1	122	115.0	115.0	115.0	0	115	95.61	94.53
seqdata_primer_trimmed/S001_R2_F.fastq.gz	FASTQ	DNA	98058	10904439	1	111.2	122	115.0	115.0	115.0	0	115	93.72	92.30
seqdata_primer_trimmed/S001_R2_R.fastq.gz	FASTQ	DNA	98672	10981293	1	111.3	122	115.0	115.0	115.0	0	115	92.41	90.84
seqdata_primer_trimmed/S002_R1_F.fastq.gz	FASTQ	DNA	144463	15855468	4	109.8	121	114.0	114.0	115.0	0	114	96.09	95.38
seqdata_primer_trimmed/S002_R1_R.fastq.gz	FASTQ	DNA	141303	15503904	4	109.7	121	114.0	114.0	115.0	0	114	95.83	94.92
seqdata_primer_trimmed/S002_R2_F.fastq.gz	FASTQ	DNA	144463	15866899	4	109.8	122	114.0	114.0	115.0	0	114	93.27	91.95
seqdata_primer_trimmed/S002_R2_R.fastq.gz	FASTQ	DNA	141303	15517181	4	109.8	122	114.0	114.0	115.0	0	114	93.92	92.89
seqdata_primer_trimmed/S003_R1_F.fastq.gz	FASTQ	DNA	250495	22903468	3	91.4	121	91.0	91.0	91.0	0	91	97.37	96.89
seqdata_primer_trimmed/S003_R1_R.fastq.gz	FASTQ	DNA	243746	22288213	3	91.4	121	91.0	91.0	91.0	0	91	97.03	96.50
seqdata_primer_trimmed/S003_R2_F.fastq.gz	FASTQ	DNA	250495	22922018	3	91.5	121	91.0	91.0	91.0	0	91	95.53	94.86
seqdata_primer_trimmed/S003_R2_R.fastq.gz	FASTQ	DNA	243746	22303207	3	91.5	122	91.0	91.0	91.0	0	91	95.97	95.41
seqdata_primer_trimmed/S004_R1_F.fastq.gz	FASTQ	DNA	71328	7312307	3	102.5	122	92.0	92.0	115.0	0	114	96.53	95.77
seqdata_primer_trimmed/S004_R1_R.fastq.gz	FASTQ	DNA	70197	7206917	3	102.7	121	92.0	92.0	115.0	0	114	96.15	95.27
seqdata_primer_trimmed/S004_R2_F.fastq.gz	FASTQ	DNA	71328	7318606	3	102.6	122	92.0	92.0	115.0	0	114	93.82	92.55
seqdata_primer_trimmed/S004_R2_R.fastq.gz	FASTQ	DNA	70197	7212274	3	102.7	122	92.0	92.0	115.0	0	114	94.20	93.01
seqdata_primer_trimmed/S005_R1_F.fastq.gz	FASTQ	DNA	162367	17633469	0	108.6	121	92.0	115.0	115.0	0	115	96.27	95.55
seqdata_primer_trimmed/S005_R1_R.fastq.gz	FASTQ	DNA	160092	17407381	0	108.7	122	92.0	115.0	115.0	0	115	95.91	95.05
