file	format	type	num_seqs	sum_len	min_len	avg_len	max_len	Q1	Q2	Q3	sum_gap	N50	Q20(%)	Q30(%)
seqdata_seq_reversed/S001_R1.fastq.gz	FASTQ	DNA	196730	21882060	1	111.2	122	115.0	115.0	115.0	0	115	93.96	92.68
seqdata_seq_reversed/S001_R2.fastq.gz	FASTQ	DNA	196730	21870888	1	111.2	122	115.0	115.0	115.0	0	115	94.67	93.42
seqdata_seq_reversed/S002_R1.fastq.gz	FASTQ	DNA	285766	31372649	4	109.8	122	114.0	114.0	115.0	0	114	95.01	94.15
seqdata_seq_reversed/S002_R2.fastq.gz	FASTQ	DNA	285766	31370803	4	109.8	122	114.0	114.0	115.0	0	114	94.53	93.42
seqdata_seq_reversed/S003_R1.fastq.gz	FASTQ	DNA	494241	45206675	3	91.5	122	91.0	91.0	91.0	0	91	96.68	96.16
seqdata_seq_reversed/S003_R2.fastq.gz	FASTQ	DNA	494241	45210231	3	91.5	121	91.0	91.0	91.0	0	91	96.27	95.67
seqdata_seq_reversed/S004_R1.fastq.gz	FASTQ	DNA	141525	14524581	3	102.6	122	92.0	92.0	115.0	0	114	95.37	94.40
seqdata_seq_reversed/S004_R2.fastq.gz	FASTQ	DNA	141525	14525523	3	102.6	122	92.0	92.0	115.0	0	114	94.98	93.90
seqdata_seq_reversed/S005_R1.fastq.gz	FASTQ	DNA	322459	35055447	0	108.7	122	92.0	115.0	115.0	0	115	94.93	94.02
seqdata_seq_reversed/S005_R2.fastq.gz	FASTQ	DNA	322459	35051215	0	108.7	122	92.0	115.0	115.0	0	115	95.02	94.04
seqdata_seq_reversed/S006_R1.fastq.gz	FASTQ	DNA	120543	13247191	3	109.9	122	114.0	115.0	115.0	0	115	94.39	93.13
seqdata_seq_reversed/S006_R2.fastq.gz	FASTQ	DNA	120543	13242363	3	109.9	122	114.0	115.0	115.0	0	115	94.61	93.22
seqdata_seq_reversed/S007_R1.fastq.gz	FASTQ	DNA	507111	48356719	2	95.4	122	92.0	92.0	92.0	0	92	96.09	95.47
seqdata_seq_reversed/S007_R2.fastq.gz	FASTQ	DNA	507111	48365932	2	95.4	122	92.0	92.0	92.0	0	92	95.64	94.88
seqdata_seq_reversed/S008_R1.fastq.gz	FASTQ	DNA	342272	33312978	0	97.3	121	92.0	92.0	92.0	0	92	95.54	94.70
seqdata_seq_reversed/S008_R2.fastq.gz	FASTQ	DNA	342272	33316269	0	97.3	122	92.0	92.0	92.0	0	92	94.81	93.83
seqdata_seq_reversed/S009_R1.fastq.gz	FASTQ	DNA	1031792	95199136	2	92.3	122	91.0	92.0	92.0	0	92	96.16	95.54
seqdata_seq_reversed/S009_R2.fastq.gz	FASTQ	DNA	1031792	95207176	2	92.3	122	91.0	92.0	92.0	0	92	95.77	95.07
seqdata_seq_reversed/S010_R1.fastq.gz	FASTQ	DNA	389017	36350389	4	93.4	122	91.0	91.0	91.0	0	91	96.45	95.88
seqdata_seq_reversed/S010_R2.fastq.gz	FASTQ	DNA	389017	36354741	4	93.5	121	91.0	91.0	91.0	0	91	96.33	95.71
seqdata_seq_reversed/S011_R1.fastq.gz	FASTQ	DNA	223636	21908352	5	98.0	121	92.0	92.0	114.0	0	92	96.06	95.42
seqdata_seq_reversed/S011_R2.fastq.gz	FASTQ	DNA	223636	21913355	5	98.0	121	92.0	92.0	114.0	0	92	95.45	94.69
seqdata_seq_reversed/S012_R1.fastq.gz	FASTQ	DNA	123064	13725604	1	111.5	122	115.0	115.0	115.0	0	115	94.60	93.49
seqdata_seq_reversed/S012_R2.fastq.gz	FASTQ	DNA	123064	13721191	1	111.5	122	115.0	115.0	115.0	0	115	95.19	94.09
seqdata_seq_reversed/S013_R1.fastq.gz	FASTQ	DNA	199433	21843328	4	109.5	122	114.0	114.0	115.0	0	114	95.43	94.65
seqdata_seq_reversed/S013_R2.fastq.gz	FASTQ	DNA	199433	21841084	4	109.5	122	114.0	114.0	115.0	0	114	95.16	94.18
seqdata_seq_reversed/S014_R1.fastq.gz	FASTQ	DNA	199336	18246274	3	91.5	121	91.0	91.0	91.0	0	91	96.42	95.84
seqdata_seq_reversed/S014_R2.fastq.gz	FASTQ	DNA	199336	18248645	3	91.5	121	91.0	91.0	91.0	0	91	95.93	95.23
seqdata_seq_reversed/S015_R1.fastq.gz	FASTQ	DNA	168579	17309134	3	102.7	122	92.0	92.0	115.0	0	114	95.17	94.06
seqdata_seq_reversed/S015_R2.fastq.gz	FASTQ	DNA	168579	17309614	3	102.7	122	92.0	92.0	115.0	0	114	94.76	93.51
seqdata_seq_reversed/S016_R1.fastq.gz	FASTQ	DNA	146206	15902520	0	108.8	122	92.0	115.0	115.0	0	115	94.74	93.59
seqdata_seq_reversed/S016_R2.fastq.gz	FASTQ	DNA	146206	15902947	0	108.8	122	92.0	115.0	115.0	0	115	94.42	93.19
seqdata_seq_reversed/S017_R1.fastq.gz	FASTQ	DNA	112385	12327963	3	109.7	122	114.0	115.0	115.0	0	115	94.62	93.61
seqdata_seq_reversed/S017_R2.fastq.gz	FASTQ	DNA	112385	12324118	3	109.7	121	114.0	115.0	115.0	0	115	94.60	93.45
seqdata_seq_reversed/S018_R1.fastq.gz	FASTQ	DNA	229095	21730475	2	94.9	121	92.0	92.0	92.0	0	92	96.08	95.45
seqdata_seq_reversed/S018_R2.fastq.gz	FASTQ	DNA	229095	21732458	2	94.9	121	92.0	92.0	92.0	0	92	95.52	94.81
seqdata_seq_reversed/S019_R1.fastq.gz	FASTQ	DNA	188093	18345523	0	97.5	121	92.0	92.0	94.0	0	92	95.85	95.07
seqdata_seq_reversed/S019_R2.fastq.gz	FASTQ	DNA	188093	18342482	0	97.5	122	92.0	92.0	94.0	0	92	95.56	94.74
seqdata_seq_reversed/S020_R1.fastq.gz	FASTQ	DNA	202108	18642901	2	92.2	121	91.0	92.0	92.0	0	92	96.36	95.79
seqdata_seq_reversed/S020_R2.fastq.gz	FASTQ	DNA	202108	18646475	2	92.3	121	91.0	92.0	92.0	0	92	95.83	95.17
seqdata_seq_reversed/S021_R1.fastq.gz	FASTQ	DNA	239773	22404968	4	93.4	122	91.0	91.0	91.0	0	91	96.09	95.45
seqdata_seq_reversed/S021_R2.fastq.gz	FASTQ	DNA	239773	22406949	4	93.5	122	91.0	91.0	91.0	0	91	95.63	94.92
seqdata_seq_reversed/S022_R1.fastq.gz	FASTQ	DNA	193904	19049986	5	98.2	121	92.0	92.0	114.0	0	92	96.09	95.39
seqdata_seq_reversed/S022_R2.fastq.gz	FASTQ	DNA	193904	19052422	5	98.3	122	92.0	92.0	114.0	0	92	95.58	94.76
seqdata_seq_reversed/S023_R1.fastq.gz	FASTQ	DNA	160	6497	3	40.6	120	3.0	6.0	115.0	0	115	88.63	86.98
seqdata_seq_reversed/S023_R2.fastq.gz	FASTQ	DNA	160	6461	3	40.4	120	3.0	6.0	115.0	0	115	85.11	82.48
seqdata_seq_reversed/S024_R1.fastq.gz	FASTQ	DNA	151	4821	3	31.9	120	3.0	6.0	17.0	0	115	85.17	83.20
seqdata_seq_reversed/S024_R2.fastq.gz	FASTQ	DNA	151	4876	3	32.3	120	3.0	6.0	34.0	0	115	82.98	80.19
seqdata_seq_reversed/S025_R1.fastq.gz	FASTQ	DNA	114	5153	3	45.2	120	3.0	6.0	115.0	0	115	78.34	74.89
seqdata_seq_reversed/S025_R2.fastq.gz	FASTQ	DNA	114	5299	3	46.5	120	3.0	6.0	115.0	0	115	78.58	74.62
seqdata_seq_reversed/S026_R1.fastq.gz	FASTQ	DNA	178682	19908095	1	111.4	122	115.0	115.0	115.0	0	115	93.54	92.19
seqdata_seq_reversed/S026_R2.fastq.gz	FASTQ	DNA	178682	19897286	1	111.4	122	115.0	115.0	115.0	0	115	94.39	93.10
seqdata_seq_reversed/S027_R1.fastq.gz	FASTQ	DNA	226922	24978660	4	110.1	122	114.0	114.0	115.0	0	114	94.69	93.77
seqdata_seq_reversed/S027_R2.fastq.gz	FASTQ	DNA	226922	24975566	4	110.1	122	114.0	114.0	115.0	0	114	94.33	93.19
seqdata_seq_reversed/S028_R1.fastq.gz	FASTQ	DNA	397239	36351682	3	91.5	122	91.0	91.0	91.0	0	91	96.35	95.80
seqdata_seq_reversed/S028_R2.fastq.gz	FASTQ	DNA	397239	36347325	3	91.5	122	91.0	91.0	91.0	0	91	96.19	95.59
seqdata_seq_reversed/S029_R1.fastq.gz	FASTQ	DNA	222026	22887280	3	103.1	122	92.0	92.0	115.0	0	114	94.97	93.92
seqdata_seq_reversed/S029_R2.fastq.gz	FASTQ	DNA	222026	22886459	3	103.1	122	92.0	92.0	115.0	0	114	94.58	93.44
seqdata_seq_reversed/S030_R1.fastq.gz	FASTQ	DNA	238248	26055687	0	109.4	122	112.0	115.0	115.0	0	115	94.49	93.51
seqdata_seq_reversed/S030_R2.fastq.gz	FASTQ	DNA	238248	26052130	0	109.3	121	112.0	115.0	115.0	0	115	94.74	93.70
seqdata_seq_reversed/S031_R1.fastq.gz	FASTQ	DNA	135415	14925413	3	110.2	122	114.0	115.0	115.0	0	115	93.99	92.66
