"","input","filtered","denoised","merged","tabled","tabled2","nonchim","prop(last/first)"
"S001",196730,196155,195981,192378,192378,192352,186986,0.950470187566716
"S002",285766,285264,284677,279846,279846,279846,270735,0.947401020415305
"S003",494241,493992,493960,487666,487666,487666,460852,0.932443888710164
"S004",141525,141285,141125,138187,138187,138187,132465,0.935983041865395
"S005",322459,321838,320994,313589,313589,313589,304557,0.944482864488199
"S006",120543,120169,119955,118293,118293,118293,114433,0.949312693395718
"S007",507111,506626,505485,498231,498231,498231,496376,0.978831064599269
"S008",342272,341495,341166,331139,331139,331139,327135,0.955774939229619
"S009",1031792,1030994,1030878,1012100,1012100,1012100,949910,0.920640981903329
"S010",389017,388712,388623,381281,381281,381281,363611,0.934691800101281
"S011",223636,223430,223261,219508,219508,219508,215277,0.962622296946824
"S012",123064,122821,122727,120781,120781,120777,116952,0.950334785152441
"S013",199433,199155,198783,195481,195481,195481,189866,0.952029002221297
"S014",199336,199214,199191,196410,196410,196410,185056,0.928362162379099
"S015",168579,168307,168100,164959,164959,164959,158142,0.938088373996761
"S016",146206,145885,145553,142280,142280,142280,136363,0.932677181511019
"S017",112385,112144,111945,110391,110391,110391,107456,0.956141833874627
"S018",229095,228863,228751,225793,225793,225793,224705,0.980837643772234
"S019",188093,187833,187702,182666,182666,182666,180599,0.960158006943374
"S020",202108,201947,201916,198389,198389,198389,183774,0.909286124250401
"S021",239773,239518,239443,234067,234067,234067,221863,0.92530435036472
"S022",193904,193738,193459,190359,190359,190359,187111,0.964967200264048
"S023",160,51,51,51,51,51,51,0.31875
"S024",151,34,34,34,34,34,34,0.225165562913907
"S025",114,40,40,40,40,40,40,0.350877192982456
"S026",178682,178083,177919,175014,175014,174986,170344,0.953336094290415
"S027",226922,226508,225889,222278,222278,222278,215333,0.948929588140418
"S028",397239,396992,396684,391607,391607,391607,370779,0.933390226035208
"S029",222026,221690,221347,216646,216646,216646,207446,0.934332015169395
"S030",238248,237819,237029,231768,231768,231768,225676,0.947231456297639
"S031",135415,135027,134786,132440,132440,132440,128091,0.945914411254292
"S032",361811,361455,361235,357296,357296,357296,356013,0.983975058801418
"S033",281722,281083,280758,273547,273547,273547,270371,0.959708506967862
"S034",333751,333452,333405,327643,327643,327643,308741,0.925063894939641
"S035",330075,329802,327622,321937,321937,321937,306115,0.927410437021889
"S036",357310,356953,355915,349288,349288,349288,342212,0.957745375164423
"S037",217704,217174,217002,213293,213293,213265,206527,0.948659647962371
"S038",279243,278821,278248,273396,273396,273396,265580,0.951071289163918
"S039",299707,299481,299458,295604,295604,295604,277805,0.926921960448038
"S040",255402,254896,254115,247369,247369,247369,236562,0.926233937087415
"S041",219217,218731,217995,212135,212135,212135,202723,0.924759484893964
"S042",170007,169587,169209,166637,166637,166637,162524,0.955984165357897
"S043",370800,370429,370223,365517,365517,365517,363756,0.981003236245955
"S044",318615,318097,317772,309546,309546,309546,305977,0.960334573074086
"S045",307343,307057,307024,301786,301786,301786,278468,0.906049592800226
"S046",343990,343618,343413,335471,335471,335471,318613,0.926227506613564
"S047",303342,303029,302325,298060,298060,298060,292922,0.965649333095977
"S048",212621,212284,212263,211545,211545,211545,211539,0.994911132954882
"S049",196728,196486,196254,194525,194525,194525,194522,0.988786547924037
"S050",208224,207844,207823,206392,206392,206392,206386,0.991172967573382
"S051",112639,112469,112357,110947,110947,110947,110337,0.979563028791094
"S052",134173,134098,133858,132160,132160,132160,131303,0.978609705380367
"S053",221764,221685,221223,218345,218345,218345,214812,0.968651359102469
"S054",75537,75420,75327,73942,73942,73942,71393,0.945139468075248
"S055",134855,134453,134295,132053,132053,132053,131024,0.97159170961403
"S056",70759,70506,70424,69677,69677,69677,68517,0.968314984666262
"S057",132490,132403,132291,130237,130237,130237,129801,0.97970412861348
"S058",138998,138739,138492,136501,136501,136501,135195,0.972639894099196
"S059",180448,180179,180157,177956,177956,177956,176854,0.980082904770349
"S060",201691,201620,201586,198097,198097,198097,196797,0.975735159228721
"S061",167588,167460,167317,164754,164754,164754,164107,0.979228823066091
"S062",169921,169792,169496,166402,166402,166402,164080,0.965625202299892
"S063",144273,144218,144091,141866,141866,141866,141237,0.978956561518787
"S064",211084,210978,210954,207555,207555,207555,202671,0.960143828996987
"S065",130907,130804,130678,128484,128484,128484,126051,0.962904963065382
"S066",61731,61661,61582,60802,60802,60802,60540,0.980706614180882
"S067",115678,115522,115413,113940,113940,113940,113686,0.982779785265997
