"","OTU00001","OTU00002","OTU00003","OTU00004","OTU00005","OTU00006","OTU00007","OTU00008","OTU00009","OTU00010","OTU00011","OTU00012","OTU00013","OTU00014","OTU00015","OTU00016","OTU00017","OTU00018","OTU00019","OTU00020","OTU00021","OTU00022","OTU00023","OTU00024","OTU00025","OTU00026","OTU00027","OTU00028","OTU00029","OTU00030","OTU00031","OTU00032","OTU00033","OTU00034","OTU00035","OTU00036","OTU00037","OTU00038","OTU00039","OTU00040","OTU00041","OTU00042","OTU00043","OTU00044","OTU00045","OTU00046","OTU00047","OTU00048","OTU00049","OTU00050","OTU00051","OTU00052","OTU00053","OTU00054","OTU00055","OTU00056","OTU00057","OTU00058","OTU00059","OTU00060","OTU00061","OTU00062","OTU00063","OTU00064","OTU00065","OTU00066","OTU00067","OTU00068","OTU00069","OTU00070","OTU00071","OTU00072","OTU00073","OTU00074","OTU00075","OTU00076","OTU00077","OTU00078","OTU00079","OTU00080","OTU00081","OTU00082","OTU00083","OTU00084","OTU00085","OTU00086","OTU00087","OTU00088","OTU00089","OTU00090","OTU00091","OTU00092","OTU00093","OTU00094","OTU00095","OTU00096","OTU00097","OTU00098","OTU00099","OTU00100","OTU00101","OTU00102","OTU00103","OTU00104","OTU00105","OTU00106","OTU00107","OTU00108","OTU00109","OTU00110","OTU00111","OTU00112","OTU00113","OTU00114","OTU00115","OTU00116","OTU00117","OTU00118","OTU00119","OTU00120","OTU00121","OTU00122","OTU00123"
"S001",26438,3798,130361,0,9390,0,0,0,4145,890,0,783,0,2687,0,0,0,0,0,0,62,0,22,774,351,10,38,0,46,0,0,0,0,0,258,0,0,0,1450,2107,2540,0,87,0,0,358,0,0,0,0,0,0,0,0,0,0,275,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,0,0,11,0,0,32,0,0,0,0,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S002",57909,403,2786,0,16620,10651,77442,36747,0,0,0,0,12495,27932,0,0,25512,0,0,0,1810,0,10,0,33,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,45,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S003",49472,405017,220,0,498,1217,0,2141,110,0,0,0,0,0,0,0,0,0,0,0,15,0,10,700,12,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1252,0,0,154,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S004",72275,0,10415,0,6692,11654,0,2444,0,5093,0,0,0,4510,16143,0,0,0,0,0,0,0,0,1265,156,7,0,0,0,0,0,0,70,319,0,0,0,0,0,0,0,0,469,0,0,10,0,0,678,0,0,0,0,0,0,0,30,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,207,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"S005",70657,7694,66105,0,20702,0,0,47696,17360,0,36097,23,0,0,0,3456,0,0,18997,0,0,0,0,0,373,0,837,0,3143,5002,0,0,224,2474,0,0,0,0,0,0,0,202,0,0,0,1458,0,0,0,0,0,0,0,0,0,0,191,0,1681,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,2,0,50,0,32,4,0,0,0,3,0,0,0,0,4,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S006",20185,4810,41286,0,6964,0,0,0,6917,26810,0,0,0,0,0,0,0,3286,0,0,0,0,2852,0,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,2,692,0,0,0,0,0,0,0,0,0,103,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S007",409459,0,10338,0,5112,0,165,0,12902,0,35119,0,0,0,0,0,0,4192,0,17425,17,0,290,0,2,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,665,453,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,54,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S008",250831,0,45677,0,1045,0,0,0,3801,0,0,0,0,0,0,0,245,729,0,0,7522,0,1985,0,300,455,4839,2397,29,0,1308,0,0,0,0,0,0,794,0,0,0,0,653,722,3224,0,0,0,0,0,18,0,142,0,0,0,114,0,0,0,0,0,0,217,0,0,0,80,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"S009",517651,340342,1423,0,0,0,0,21326,115,0,0,0,0,0,0,42943,35,4,0,0,0,20097,189,0,4,0,0,0,0,0,0,0,2752,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2432,0,0,0,0,0,0,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S010",41765,287589,84,0,100,0,0,20714,0,9424,0,1,0,0,0,0,0,94,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,2121,0,0,0,0,0,141,112,0,0,114,0,0,142,0,0,1191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
